ViewPage,Title,Company,Location,Metadata,Summary
https://uk.indeed.com/viewjob?jk=072e14f17acb47b4,Systems Engineer (Private Cloud),Live Nation,Remote in London,Full-time,Job Summary: Location: United Kingdom Division: Ticketmaster UK Contract Terms: Permanent THE TEAM This position will be a part of the Private Cloud team…
https://uk.indeed.com/viewjob?jk=e4ae6d06283fbd49,DevOps Engineer,Opus Recruitment Solutions,Remote in London,Part-time,DevOps Engineer– Outside IR35 – Part-time - Fully Remote I have partnered with a fintech client who are looking for a part-time DevOps Engineer (2 days a week…
https://uk.indeed.com/viewjob?jk=dfad2b822ba2c81c,"DevOps Engineer, UK",Huma,London,Permanent +1,"Giving the world more time. For the first time in human history we have the technology, data, and insights to redefine health. Together with our partners, we…"
https://uk.indeed.com/viewjob?jk=4c80c02d13d8e583,Engineering Manager,Sky,Hybrid remote in Osterley,Full-time,Want to do the best work of your life? Make your mark at Europe’s leading entertainment brand. Our people make Sky a truly exciting and inclusive place to…
https://uk.indeed.com/viewjob?jk=e467aa64719d2a1d,Engineer - Java - Customer & Data,Sainsburys,London EC1N+1 location,Permanent +2,"We’re a multi-channel, multi-brand business serving millions of customers a day, with the UK’s largest loyalty scheme and an ever-evolving set of digital…"
https://uk.indeed.com/viewjob?jk=af1d7a2e0eef25e2,Public Cloud Platform Software Engineer,"JPMorgan Chase Bank, N.A.",Glasgow,Permanent +1,Key Responsibilities Design and implement scalable and resilient Public Cloud solutions following cloud native design principals and leveraging native…
https://uk.indeed.com/viewjob?jk=49736d00dac60506,Senior Computer Vision Engineer,Harnham,London,"£55,000 - £75,000 a yearPermanent","Senior Computer Vision Engineer Up to £75,000 + equity London - Hybrid TECH STACK: Python, C++, AWS, Git, CI/CD A revolutionary computer vision start up…"
https://uk.indeed.com/viewjob?jk=4f37bb701df1a2d5,"Site Reliability Engineer - News, Stocks, and Weather",Apple,London,Full-time,"Summary Posted: Jul 22, 2022 Weekly Hours: 35 Role Number:200400399 Do you love engineering and running systems & infrastructure that will delight millions of…"
https://uk.indeed.com/viewjob?jk=9246fe1dbdfd59b4,Application Security Engineer,Dojo,London,Full-time,"Born on the steps of a Vegas hotel, we were always going to be troublemakers. We started from one belief: that small businesses deserved better. Paymentsense…"
https://uk.indeed.com/viewjob?jk=dabdaaeafa2c9336,DevOps Engineer,Sliide,London,,"London, UK Company Overview Sliide is a mobile technology company that solves some of the most pressing challenges for mobile network operators and handset…"
https://uk.indeed.com/viewjob?jk=ad3b213cc368faa6,Senior DevOps Engineer (Blockchain),develop.,Remote in England,£500 - £700 a dayFixed term contract,Role: Senior DevOps Engineer (Blockchain) Rate: £500 - £700 per day Type: Contract Location: Remote IR35 status: Outside My client has an urgent requirement…
https://uk.indeed.com/viewjob?jk=ecbc1691e475e624,Infrastructure Development,"JPMorgan Chase Bank, N.A.",Glasgow,Permanent +1,"As an experienced Infrastructure/Software Engineering professional, your mission is to help lead our team of innovators and technologists toward creating next…"
https://uk.indeed.com/viewjob?jk=a751e5ac4f0a3430,DevSecOps Engineer,Citi,London,Full-time,"Overview of Citi: Citi, the world leading global bank, has approximately 200 million customer accounts and a presence in more than 160 countries and…"
https://uk.indeed.com/viewjob?jk=8d802f7f4827970f,Senior Software Engineer,Splunk,London,Full-time,"Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. Splunk is a company filled with people who…"
https://uk.indeed.com/viewjob?jk=40d7cbccd4bff8d3,DevOps Engineer,AMsource Technology,Birmingham+4 locations,"£50,000 - £65,000 a yearPermanent","Location: Birmingham Date Posted: 15/08/2022 Salary: £50,000 - 65,000 Expires: 15/08/2023 Role Type: Permanent Would you like to work for a company that has…"
https://uk.indeed.com/viewjob?jk=52bae4d373890a99,Multiple Software Developers (PHP,Oscar Technology,Hybrid remote in Manchester,"£30,000 - £60,000 a yearPermanent","eCommerce £35,000 - £60,000 (DOE) + 10% bonus Manchester / Remote / Hybrid (whichever way works best for you!) One of Europe's largest retail groups is…"
https://uk.indeed.com/viewjob?jk=5749d1ceb7927af9,Lead Computer Vision Engineer,Harnham,London,"£75,000 - £90,000 a yearPermanent","Senior Computer Vision Engineer Up to £75,000 + equity London - Hybrid TECH STACK: Python, C++, AWS, Git, CI/CD A revolutionary computer vision start up…"
https://uk.indeed.com/viewjob?jk=9813afbe529ed4e5,Golang System Software Engineer - Containers and Kernel Secu...,Canonical - Jobs,Remote in Edinburgh+3 locations,,"Work on mission-critical Golang code, focused on software delivery, containers, security sandboxing, telemetry and device management, as a software engineer…"
https://uk.indeed.com/viewjob?jk=acce444d50916ab5,Senior Engineer - Java - Customer & Data,Sainsburys,London EC1N,Permanent +2,"We’re a multi-channel, multi-brand business serving millions of customers a day, with the UK’s largest loyalty scheme and an ever-evolving set of digital…"
https://uk.indeed.com/viewjob?jk=d6c422701c80a908,GoLang Developer,TechNET IT Recruitment Ltd,Poole,"£33,000 - £67,000 a year",Are you a genius backend developer – especially with Golang? Do you to work with one of the worlds pioneers within the cosmetics industry? Want to work remote…
https://uk.indeed.com/viewjob?jk=661ab08b2b3a1754,Software Engineer - NodeJS / VueJS,Spectrum IT,Remote in Portsmouth,"£30,000 - £45,000 a yearPermanent +1",Software Developer (Junior / Mid) - NodeJS / VueJS Full-time Remote Working or office based hybrid - your choice! Competitive salary & flexible benefits; £30…
https://uk.indeed.com/viewjob?jk=44dd853d47c4a127,Senior Solution Architect,Shell,London,,The Role What’s the role? The Solution Architect is responsible for delivering solution designs to projects. These solutions need to be fit-for-purpose…
https://uk.indeed.com/viewjob?jk=0a5fa910908233e9,Senior Backend Engineer (node.js),Starling Web Engineering,Remote,,The company is a software engineering and digital product design consultancy specialising in helping large enterprises grow their digital capabilities.. We…
https://uk.indeed.com/viewjob?jk=5dff817d6d7c3372,"Software Developer, Sports",bet365,Hybrid remote in Stoke-on-Trent,Full-time,Who we are looking for A Full Stack Software Developer who will work in a small team of talented developers following agile practices to develop high quality…
